,intake,enrolment,sex,course,year,graduates
0,1156,2172,MF,Applied and Health Sciences,2009,944
1,710,1369,F,Applied and Health Sciences,2009,593
2,4076,6316,MF,Business & Services,2009,3429
3,2799,4188,F,Business & Services,2009,2435
4,541,895,MF,Design & Media,2009,308
5,268,418,F,Design & Media,2009,142
6,4121,8237,MF,Engineering,2009,3463
7,500,964,F,Engineering,2009,369
8,3811,7226,MF,Electronics & Infocomm Technology,2009,2855
9,1037,1905,F,Electronics & Infocomm Technology,2009,772
10,0,0,MF,Hospitality,2009,0
11,0,0,F,Hospitality,2009,0
12,1138,2198,MF,Applied and Health Sciences,2010,987
13,680,1336,F,Applied and Health Sciences,2010,637
14,4098,6321,MF,Business & Services,2010,3591
15,2754,4138,F,Business & Services,2010,2474
16,611,1094,MF,Design & Media,2010,420
17,320,548,F,Design & Media,2010,181
18,4147,7891,MF,Engineering,2010,3179
19,522,968,F,Engineering,2010,366
20,3892,7285,MF,Electronics & Infocomm Technology,2010,3157
21,972,1866,F,Electronics & Infocomm Technology,2010,830
22,0,0,MF,Hospitality,2010,0
23,0,0,F,Hospitality,2010,0
24,1293,2447,MF,Applied and Health Sciences,2011,940
25,847,1560,F,Applied and Health Sciences,2011,591
26,4232,6462,MF,Business & Services,2011,3509
27,2681,4060,F,Business & Services,2011,2300
28,603,1156,MF,Design & Media,2011,507
29,322,609,F,Design & Media,2011,245
30,4222,7997,MF,Engineering,2011,3128
31,615,1068,F,Engineering,2011,386
32,3748,7217,MF,Electronics & Infocomm Technology,2011,3081
33,1019,1861,F,Electronics & Infocomm Technology,2011,804
34,603,1156,MF,Hospitality,2011,507
35,322,609,F,Hospitality,2011,245
36,1261,2469,MF,Applied and Health Sciences,2012,1097
37,769,1553,F,Applied and Health Sciences,2012,702
38,3839,5885,MF,Business & Services,2012,3065
39,2372,3623,F,Business & Services,2012,2024
40,604,1157,MF,Design & Media,2012,534
41,288,580,F,Design & Media,2012,284
42,4229,8078,MF,Engineering,2012,3352
43,519,1023,F,Engineering,2012,448
44,3462,6810,MF,Electronics & Infocomm Technology,2012,3130
45,945,1820,F,Electronics & Infocomm Technology,2012,793
46,511,971,MF,Hospitality,2012,352
47,251,486,F,Hospitality,2012,174
48,1219,2346,MF,Applied and Health Sciences,2013,1058
49,750,1470,F,Applied and Health Sciences,2013,683
50,3916,6257,MF,Business & Services,2013,3387
51,2468,3919,F,Business & Services,2013,2183
52,811,1291,MF,Design & Media,2013,471
53,386,633,F,Design & Media,2013,229
54,4413,8503,MF,Engineering,2013,3420
55,621,1030,F,Engineering,2013,411
56,3533,6883,MF,Electronics & Infocomm Technology,2013,3085
57,941,1859,F,Electronics & Infocomm Technology,2013,848
58,540,1008,MF,Hospitality,2013,467
59,293,517,F,Hospitality,2013,226
60,1154,2597,MF,Applied and Health Sciences,2014,1037
61,701,1631,F,Applied and Health Sciences,2014,645
62,4006,6682,MF,Business & Services,2014,2469
63,2547,4173,F,Business & Services,2014,1545
64,879,1494,MF,Design & Media,2014,639
65,462,751,F,Design & Media,2014,318
66,4560,9064,MF,Engineering,2014,3574
67,633,1218,F,Engineering,2014,400
68,3506,7033,MF,Electronics & Infocomm Technology,2014,2881
69,948,1860,F,Electronics & Infocomm Technology,2014,734
70,536,1166,MF,Hospitality,2014,462
71,283,616,F,Hospitality,2014,241
72,1173,2523,MF,Applied and Health Sciences,2015,1274
73,733,1594,F,Applied and Health Sciences,2015,815
74,3633,8010,MF,Business & Services,2015,3528
75,2184,5048,F,Business & Services,2015,2223
76,933,1565,MF,Design & Media,2015,705
77,466,798,F,Design & Media,2015,355
78,4486,9045,MF,Engineering,2015,3966
79,623,1287,F,Engineering,2015,554
80,3383,6927,MF,Electronics & Infocomm Technology,2015,3266
81,891,1873,F,Electronics & Infocomm Technology,2015,868
82,565,1225,MF,Hospitality,2015,612
