object_id,shape,admin3_pcode,shape_length,shape_area,location
1,Polygon,TH420803,0.360041,0.005078,"Thailand, Loei, Tha Li, A Hi"
2,Polygon,TH940102,0.0449,0.00012,"Thailand, Pattani, Mueang Pattani, A Noru"
3,Polygon,TH321305,0.365838,0.004086,"Thailand, Surin, Buachet, A Phon"
4,Polygon,TH950615,0.314589,0.003177,"Thailand, Yala, Raman, A Song"
5,Polygon,TH550711,1.102764,0.014955,"Thailand, Nan, Wiang Sa, Ai Na Lai"
6,Polygon,TH950204,1.563061,0.053698,"Thailand, Yala, Betong, Aiyoe Weng"
7,Polygon,TH450804,0.326121,0.004442,"Thailand, Roi Et, Pho Chai, Ak Khakham"
8,Polygon,TH471101,0.569273,0.007845,"Thailand, Sakon Nakhon, Akat Amnuai, Akat"
9,Polygon,TH140802,0.096707,0.000504,"Thailand, Phra Nakhon Si Ayutthaya, Phak Hai, Ammarit"
10,Polygon,TH370701,0.259003,0.00222,"Thailand, Amnat Charoen, Lue Amnat, Amnat"
11,Polygon,TH740310,0.249443,0.002069,"Thailand, Samut Sakhon, Ban Phaeo, Amphaeng"
12,Polygon,TH750301,0.107978,0.000271,"Thailand, Samut Songkhram, Amphawa, Amphawa"
13,Polygon,TH700808,0.604933,0.011599,"Thailand, Ratchaburi, Pak Tho, Ang Hin"
14,Polygon,TH150401,0.147032,0.000848,"Thailand, Ang Thong, Pho Thong, Ang Kaeo"
15,Polygon,TH220508,0.266434,0.004121,"Thailand, Chanthaburi, Makham, Ang Khiri"
16,Polygon,TH200117,0.101624,0.000438,"Thailand, Chon Buri, Mueang Chon Buri, Ang Sila"
17,Polygon,TH341914,0.449272,0.00517,"Thailand, Ubon Ratchathani, Phibun Mangsahan, Ang Sila"
18,Polygon,TH560313,0.626458,0.009306,"Thailand, Phayao, Chiang Kham, Ang Thong"
19,Polygon,TH600504,0.268903,0.002891,"Thailand, Nakhon Sawan, Banphot Phisai, Ang Thong"
20,Polygon,TH620103,1.034954,0.01761,"Thailand, Kamphaeng Phet, Mueang Kamphaeng Phet, Ang Thong"
21,Polygon,TH700108,0.226008,0.001486,"Thailand, Ratchaburi, Mueang Ratchaburi, Ang Thong"
22,Polygon,TH770302,0.609806,0.008773,"Thailand, Prachuap Khiri Khan, Thap Sakae, Ang Thong"
23,Polygon,TH840401,1.168718,0.005146,"Thailand, Surat Thani, Ko Samui, Ang Thong"
24,Polygon,TH931103,0.220536,0.001771,"Thailand, Phatthalung, Srinagarindra, Ang Thong"
